Source,Target,cash,material,help
BDSU002,BDSU001,0,1,0
BDSU002,BDSU001,0,1,0
BDSU002,BDSU002,0,1,0
BDSU002,BDSU002,0,1,0
BDSU002,BDSU011,0,1,0
BDSU002,BDSU043,0,1,0
BDSU002,BDSU043,0,1,0
BDSU004,BDSU006,0,1,0
BDSU004,BDSU016,0,1,0
BDSU005,BDSU008,0,1,0
BDSU005,BDSU009,0,1,0
BDSU005,BDSU009,0,1,0
BDSU005,BDSU011,0,1,0
BDSU005,BDSU045,0,1,0
BDSU005,BDSU050,0,1,0
BDSU005,BDSU050,0,1,0
BDSU006,BDSU012,0,1,0
BDSU006,BDSU012,0,1,0
BDSU006,BDSU017,0,1,0
BDSU006,BDSU038,0,1,0
BDSU006,BDSU042,0,1,0
BDSU006,BDSU049,0,1,0
BDSU006,BDSU049,0,1,0
BDSU006,BDSU059,0,1,0
BDSU007,BDSU011,0,1,0
BDSU007,BDSU015,0,1,0
BDSU007,BDSU018,0,1,0
BDSU008,BDSU005,0,1,0
BDSU008,BDSU009,0,1,0
BDSU008,BDSU018,0,1,0
BDSU009,BDSU005,0,1,0
BDSU009,BDSU005,0,1,0
BDSU009,BDSU008,0,1,0
BDSU009,BDSU011,0,1,0
BDSU009,BDSU018,0,1,0
BDSU009,BDSU050,0,1,0
BDSU010,BDSU043,0,1,0
BDSU011,BDSU001,0,1,0
BDSU011,BDSU005,0,1,0
BDSU011,BDSU007,0,1,0
BDSU011,BDSU007,0,1,0
BDSU011,BDSU007,0,1,0
BDSU011,BDSU009,0,1,0
BDSU011,BDSU010,0,1,0
BDSU011,BDSU011,0,1,0
BDSU011,BDSU011,0,1,0
BDSU011,BDSU012,0,1,0
BDSU011,BDSU018,0,1,0
BDSU011,BDSU018,0,1,0
BDSU011,BDSU050,0,1,0
BDSU012,BDSU006,0,1,0
BDSU012,BDSU056,0,1,0
BDSU013,BDSU013,0,1,0
BDSU014,BDSU015,0,1,0
BDSU014,BDSU016,0,1,0
BDSU014,BDSU017,0,1,0
BDSU015,BDSU006,0,1,0
BDSU015,BDSU014,0,1,0
BDSU016,BDSU001,0,1,0
BDSU016,BDSU003,0,1,0
BDSU016,BDSU014,0,1,0
BDSU016,BDSU039,0,1,0
BDSU016,BDSU051,0,1,0
BDSU017,BDSU014,0,1,0
BDSU017,BDSU018,0,1,0
BDSU017,BDSU026,0,1,0
BDSU017,BDSU029,0,1,0
BDSU017,BDSU037,0,1,0
BDSU017,BDSU050,0,1,0
BDSU018,BDSU017,0,1,0
BDSU018,BDSU036,0,1,0
BDSU018,BDSU037,0,1,0
BDSU019,BDSU046,0,1,0
BDSU020,BDSU029,0,1,0
BDSU020,BDSU046,0,1,0
BDSU021,BDSU025,0,1,0
BDSU021,BDSU026,0,1,0
BDSU022,BDSU019,0,1,0
BDSU022,BDSU023,0,1,0
BDSU022,BDSU028,0,1,0
BDSU022,BDSU052,0,1,0
BDSU023,BDSU022,0,1,0
BDSU023,BDSU052,0,1,0
BDSU023,BDSU052,0,1,0
BDSU024,BDSU001,0,1,0
BDSU025,BDSU021,0,1,0
BDSU025,BDSU059,0,1,0
BDSU026,BDSU017,0,1,0
BDSU026,BDSU029,0,1,0
BDSU026,BDSU029,0,1,0
BDSU027,BDSU034,0,1,0
BDSU027,BDSU070,0,1,0
BDSU028,BDSU022,0,1,0
BDSU028,BDSU034,0,1,0
BDSU029,BDSU017,0,1,0
BDSU029,BDSU020,0,1,0
BDSU029,BDSU026,0,1,0
BDSU029,BDSU026,0,1,0
BDSU029,BDSU031,0,1,0
BDSU029,BDSU034,0,1,0
BDSU029,BDSU055,0,1,0
BDSU030,BDSU033,0,1,0
BDSU030,BDSU073,0,1,0
BDSU031,BDSU029,0,1,0
BDSU031,BDSU055,0,1,0
BDSU032,BDSU030,0,1,0
BDSU032,BDSU033,0,1,0
BDSU032,BDSU035,0,1,0
BDSU032,BDSU062,0,1,0
BDSU033,BDSU030,0,1,0
BDSU033,BDSU030,0,1,0
BDSU033,BDSU073,0,1,0
BDSU033,BDSU073,0,1,0
BDSU033,BDSU073,0,1,0
BDSU034,BDSU017,0,1,0
BDSU034,BDSU027,0,1,0
BDSU034,BDSU029,0,1,0
BDSU034,BDSU029,0,1,0
BDSU034,BDSU053,0,1,0
BDSU034,BDSU064,0,1,0
BDSU035,BDSU032,0,1,0
BDSU035,BDSU035,0,1,0
BDSU035,BDSU038,0,1,0
BDSU036,BDSU015,0,1,0
BDSU036,BDSU018,0,1,0
BDSU036,BDSU050,0,1,0
BDSU037,BDSU017,0,1,0
BDSU037,BDSU018,0,1,0
BDSU037,BDSU042,0,1,0
BDSU037,BDSU050,0,1,0
BDSU038,BDSU039,0,1,0
BDSU038,BDSU040,0,1,0
BDSU038,BDSU040,0,1,0
BDSU038,BDSU041,0,1,0
BDSU039,BDSU016,0,1,0
BDSU039,BDSU038,0,1,0
BDSU039,BDSU050,0,1,0
BDSU040,BDSU001,0,1,0
BDSU040,BDSU038,0,1,0
BDSU040,BDSU038,0,1,0
BDSU042,BDSU006,0,1,0
BDSU042,BDSU037,0,1,0
BDSU042,BDSU045,0,1,0
BDSU042,BDSU048,0,1,0
BDSU043,BDSU002,0,1,0
BDSU043,BDSU010,0,1,0
BDSU045,BDSU005,0,1,0
BDSU045,BDSU042,0,1,0
BDSU045,BDSU073,0,1,0
BDSU046,BDSU019,0,1,0
BDSU046,BDSU047,0,1,0
