Source,Target,relatedness
BDSU051,BDSU007,1
BDSU051,BDSU013,1
BDSU051,BDSU016,2
BDSU051,BDSU018,1
BDSU051,BDSU050,1
BDSU051,BDSU048,1
BDSU052,BDSU023,1
BDSU052,BDSU052,3
BDSU052,BDSU053,1
BDSU052,BDSU059,1
BDSU052,BDSU052,3
BDSU053,BDSU005,2
BDSU053,BDSU033,1
BDSU053,BDSU049,1
BDSU053,BDSU049,1
BDSU053,BDSU064,2
BDSU053,BDSU071,3
BDSU054,BDSU056,1
BDSU054,BDSU061,2
BDSU055,BDSU055,3
BDSU055,BDSU056,2
BDSU055,BDSU057,1
BDSU056,BDSU005,3
BDSU056,BDSU011,3
BDSU056,BDSU028,3
BDSU056,BDSU055,2
BDSU056,BDSU057,2
BDSU057,BDSU055,2
BDSU057,BDSU057,3
BDSU057,BDSU057,3
BDSU057,BDSU057,3
BDSU057,BDSU060,2
BDSU057,BDSU076,3
BDSU057,BDSU079,2
BDSU057,BDSU017,2
BDSU058,BDSU024,2
BDSU058,BDSU050,1
BDSU058,BDSU058,3
BDSU058,BDSU058,3
BDSU058,BDSU064,2
BDSU058,BDSU073,3
BDSU058,BDSU058,3
BDSU058,BDSU058,3
BDSU059,BDSU025,1
BDSU059,BDSU042,1
BDSU059,BDSU054,1
BDSU059,BDSU059,3
BDSU059,BDSU065,3
BDSU059,BDSU065,3
BDSU059,BDSU076,2
BDSU060,BDSU042,1
BDSU060,BDSU055,2
BDSU060,BDSU057,2
BDSU060,BDSU060,3
BDSU060,BDSU060,3
BDSU060,BDSU064,1
BDSU060,BDSU070,2
BDSU061,BDSU001,1
BDSU061,BDSU025,1
BDSU061,BDSU054,1
BDSU061,BDSU057,1
BDSU061,BDSU061,3
BDSU061,BDSU061,3
BDSU061,BDSU062,2
BDSU061,BDSU076,1
BDSU062,BDSU022,1
BDSU062,BDSU032,1
BDSU062,BDSU060,1
BDSU062,BDSU062,3
BDSU062,BDSU062,3
BDSU062,BDSU062,3
BDSU062,BDSU064,2
BDSU062,BDSU064,2
BDSU062,BDSU067,1
BDSU062,BDSU071,1
BDSU062,BDSU076,1
BDSU062,BDSU079,1
BDSU063,BDSU004,3
BDSU063,BDSU065,3
BDSU063,BDSU065,3
BDSU063,BDSU066,3
BDSU063,BDSU066,3
BDSU063,BDSU068,3
BDSU063,BDSU077,3
BDSU064,BDSU001,2
BDSU064,BDSU060,1
BDSU064,BDSU062,2
BDSU064,BDSU064,3
BDSU065,BDSU024,3
BDSU065,BDSU059,3
BDSU065,BDSU059,3
BDSU065,BDSU066,2
BDSU065,BDSU066,2
BDSU065,BDSU068,3
BDSU065,BDSU077,2
BDSU066,BDSU004,2
BDSU066,BDSU063,3
BDSU066,BDSU065,2
BDSU066,BDSU065,2
BDSU066,BDSU066,2
BDSU066,BDSU068,3
BDSU066,BDSU077,2
BDSU067,BDSU054,1
BDSU067,BDSU061,2
BDSU067,BDSU067,3
BDSU067,BDSU067,3
BDSU067,BDSU071,3
BDSU067,BDSU076,1
BDSU067,BDSU079,1
BDSU068,BDSU065,3
BDSU068,BDSU067,3
BDSU068,BDSU068,3
BDSU068,BDSU068,3
BDSU068,BDSU069,2
BDSU068,BDSU077,3
BDSU069,BDSU027,2
BDSU069,BDSU060,1
BDSU069,BDSU066,2
BDSU069,BDSU067,1
BDSU069,BDSU068,2
BDSU069,BDSU069,3
BDSU069,BDSU069,3
BDSU069,BDSU070,3
BDSU069,BDSU070,3
BDSU069,BDSU072,1
BDSU070,BDSU057,1
BDSU070,BDSU060,1
BDSU070,BDSU067,1
BDSU070,BDSU068,2
BDSU070,BDSU069,3
BDSU070,BDSU069,3
BDSU070,BDSU069,2
BDSU070,BDSU069,2
BDSU070,BDSU069,2
BDSU071,BDSU001,1
BDSU071,BDSU054,1
BDSU071,BDSU060,1
BDSU071,BDSU072,1
BDSU072,BDSU011,3
BDSU072,BDSU020,1
BDSU072,BDSU020,1
BDSU072,BDSU068,1
BDSU072,BDSU069,1
BDSU072,BDSU070,1
BDSU072,BDSU072,3
BDSU072,BDSU072,3
BDSU072,BDSU073,1
BDSU073,BDSU028,1
BDSU073,BDSU030,2
BDSU073,BDSU033,2
BDSU073,BDSU033,2
BDSU073,BDSU062,2
BDSU073,BDSU073,3
BDSU073,BDSU073,3
BDSU073,BDSU073,3
BDSU074,BDSU001,1
BDSU074,BDSU011,3
BDSU074,BDSU062,1
BDSU074,BDSU067,1
BDSU074,BDSU069,1
BDSU074,BDSU072,1
BDSU074,BDSU075,2
BDSU074,BDSU075,2
BDSU074,BDSU075,2
BDSU074,BDSU073,3
BDSU074,BDSU074,3
BDSU075,BDSU067,1
BDSU075,BDSU074,2
BDSU075,BDSU075,3
BDSU075,BDSU075,3
BDSU075,BDSU075,3
BDSU075,BDSU075,3
BDSU075,BDSU073,2
BDSU075,BDSU074,2
BDSU076,BDSU005,1
BDSU076,BDSU054,1
BDSU076,BDSU057,3
BDSU076,BDSU057,3
BDSU076,BDSU069,1
BDSU076,BDSU071,1
BDSU077,BDSU004,2
BDSU077,BDSU063,2
BDSU077,BDSU065,2
BDSU077,BDSU065,2
BDSU077,BDSU066,2
BDSU077,BDSU066,2
BDSU077,BDSU067,1
BDSU077,BDSU068,2
BDSU077,BDSU069,1
BDSU077,BDSU077,3
BDSU078,BDSU035,2
BDSU078,BDSU046,2
BDSU078,BDSU058,1
BDSU078,BDSU060,2
BDSU078,BDSU062,1
BDSU078,BDSU078,3
BDSU078,BDSU078,3
BDSU078,BDSU078,3
BDSU078,BDSU078,3
BDSU079,BDSU001,1
BDSU079,BDSU054,1
BDSU079,BDSU057,1
BDSU079,BDSU060,1
BDSU079,BDSU067,1
BDSU079,BDSU071,1
BDSU079,BDSU075,2
