from,to,distance
38,79,154.3235754
38,1,58.89908082
38,37,63.50299972
38,70,143.995079
38,36,152.5387043
38,15,65.93615621
38,25,33.06138607
38,43,111.8856111
38,62,106.8178443
38,35,176.0336229
38,30,144.2954462
38,66,150.4642676
38,13,154.8148013
38,29,144.3865859
38,39,99.228878
38,71,170.1768799
38,44,177.36636
38,75,177.6629025
38,3,196.2454679
38,16,174.5020156
38,17,204.3706896
38,6,191.2602545
38,49,185.393387
38,12,196.2454679
38,10,191.8123602
38,4,198.7293068
38,32,172.7429853
38,46,204.3097134
38,54,160.5218387
38,2,270.8797257
38,26,269.7233213
38,47,165.2132785
38,50,212.5762127
38,73,162.6815342
38,28,178.8747371
33,51,25.83352562
33,67,44.6025389
33,57,118.384761
33,7,121.0696273
33,24,132.2456734
33,77,12.05970937
33,42,145.8184017
33,20,135.2333562
33,38,136.7155406
33,33,0
33,5,140.5018142
33,52,14.86322479
33,59,44.64767659
33,78,119.8464509
33,23,124.9926562
33,48,119.3421698
33,34,180.1902725
33,55,122.2493424
33,40,
33,22,248.2124047
33,56,241.1458074
33,21,260.9251802
33,11,251.7774955
33,31,42.84236668
33,14,248.2204961
33,18,228.2278756
33,61,237.5679859
33,60,251.4554711
33,53,232.9172892
33,68,272.0952708
33,58,228.5279651
33,8,328.0996238
33,9,293.4720561
33,41,229.8427806
33,76,346.5507186
33,74,125.876809
33,45,177.4548113
33,19,37.59681457
33,27,90.99523071
33,65,39.8258338
33,69,69.4586428
33,72,59.10712719
33,63,20.85779927
33,64,56.29138381
33,79,18.57394451
33,1,195.6144577
33,37,200.2171244
33,70,57.58369069
33,36,20.35017041
33,15,176.9208899
33,25,146.7157852
33,43,243.8712908
33,62,224.1671928
33,35,251.6393749
33,30,231.1731902
33,66,244.9170502
33,13,233.439124
33,29,235.4820708
33,39,228.8769097
33,71,256.7198686
33,44,251.8537646
33,75,261.0242978
33,3,277.8685761
33,16,259.8514811
33,17,284.4317226
33,6,277.3316567
33,49,263.7664065
33,12,277.8685761
33,10,281.2628562
33,4,288.4361821
33,32,257.8067497
33,46,304.3254018
33,54,276.5338994
33,2,395.2184677
33,26,395.239104
33,47,244.787047
33,50,289.423241
33,73,253.7172057
33,28,256.540251
5,51,137.6060557
5,67,141.59873
5,57,45.59086
5,7,54.13417914
5,24,8.384668321
5,77,128.4846018
5,42,6.723160168
5,20,15.27844161
5,38,14.63805271
5,33,140.5018142
5,5,0
5,52,126.2906379
5,59,123.2120972
5,78,49.25247152
5,23,49.17783633
5,48,48.01563561
5,34,60.32043451
5,55,56.71797544
5,40,
5,22,150.4251369
5,56,127.3614682
5,21,122.3780787
5,11,118.6651912
5,31,144.6858123
5,14,118.2792639
5,18,143.1617126
5,61,142.135578
5,60,143.7434554
5,53,144.0759106
5,68,163.1249365
5,58,130.5640679
5,8,218.0555388
5,9,185.6706081
5,41,123.8132564
5,76,236.1595584
5,74,55.32854778
5,45,65.93397085
5,19,146.9159033
5,27,61.11377511
5,65,149.6351586
5,69,150.5964983
5,72,149.6731034
5,63,132.8386668
5,64,143.5217771
5,79,158.5937782
5,1,57.60849969
5,37,62.23823735
5,70,141.8184075
5,36,157.4716806
5,15,77.81486004
5,25,46.87517773
5,43,115.4431814
5,62,115.7067186
5,35,189.0254185
5,30,156.8106026
5,66,162.100823
5,13,167.8488253
5,29,156.491079
5,39,104.3208631
5,71,182.3413971
5,44,190.4218256
5,75,190.0225825
